城市,日期,AQI指数,空气质量级别,首要污染物
临汾市,2016-08-20,71,良,臭氧8小时
临汾市,2016-08-20,71,良,臭氧8小时
临汾市,2016-08-21,78,良,臭氧8小时
临汾市,2016-08-22,91,良,臭氧8小时
临汾市,2016-08-23,92,良,臭氧8小时
临汾市,2016-08-24,71,良,臭氧8小时
临汾市,2016-08-25,32,优,
临汾市,2016-08-26,40,优,
临汾市,2016-08-27,49,优,
临汾市,2016-08-28,60,良,臭氧8小时
临汾市,2016-08-29,90,良,臭氧8小时
临汾市,2016-08-30,63,良,PM10
临汾市,2016-08-31,92,良,臭氧8小时
临汾市,2016-09-01,51,良,"PM10,臭氧8小时"
临汾市,2016-09-02,79,良,臭氧8小时
临汾市,2016-09-03,72,良,臭氧8小时
临汾市,2016-09-04,106,轻度污染,臭氧8小时
临汾市,2016-09-05,59,良,臭氧8小时
临汾市,2016-09-06,45,优,
临汾市,2016-09-07,53,良,臭氧8小时
临汾市,2016-09-08,49,优,
临汾市,2016-09-09,47,优,
临汾市,2016-09-10,62,良,臭氧8小时
临汾市,2016-09-11,39,优,
临汾市,2016-09-12,46,优,
临汾市,2016-09-13,55,良,臭氧8小时
临汾市,2016-09-14,66,良,PM10
临汾市,2016-09-15,60,良,PM10
临汾市,2016-09-16,66,良,臭氧8小时
临汾市,2016-09-17,74,良,臭氧8小时
临汾市,2016-09-18,71,良,PM10
临汾市,2016-09-18,71,良,PM10
临汾市,2016-09-19,44,优,
临汾市,2016-09-20,54,良,PM10
临汾市,2016-09-21,60,良,PM10
临汾市,2016-09-22,57,良,PM10
临汾市,2016-09-23,62,良,臭氧8小时
临汾市,2016-09-24,74,良,PM2.5
临汾市,2016-09-25,72,良,PM2.5
临汾市,2016-09-26,62,良,PM10
临汾市,2016-09-27,78,良,"PM10,PM2.5"
临汾市,2016-09-29,77,良,PM2.5
临汾市,2016-09-30,104,轻度污染,PM2.5
临汾市,2016-10-01,78,良,PM10
临汾市,2016-10-02,85,良,"PM10,PM2.5"
临汾市,2016-10-03,66,良,PM10
临汾市,2016-10-04,50,优,
临汾市,2016-10-05,41,优,
临汾市,2016-10-06,53,良,PM10
临汾市,2016-10-07,33,优,
临汾市,2016-10-08,45,优,
临汾市,2016-10-09,59,良,NO2
临汾市,2016-10-10,59,良,PM10
临汾市,2016-10-11,79,良,PM2.5
临汾市,2016-10-12,103,轻度污染,PM2.5
临汾市,2016-10-13,56,良,SO2
临汾市,2016-10-14,36,优,
临汾市,2016-10-15,32,优,
临汾市,2016-10-16,57,良,PM10
临汾市,2016-10-17,54,良,PM10
临汾市,2016-10-17,54,良,PM10
临汾市,2016-10-18,61,良,PM10
临汾市,2016-10-19,61,良,PM10
临汾市,2016-10-20,47,优,
临汾市,2016-10-21,42,优,
临汾市,2016-10-22,43,优,
临汾市,2016-10-23,50,优,
临汾市,2016-10-24,47,优,
临汾市,2016-10-25,55,良,PM10
临汾市,2016-10-26,66,良,PM10
临汾市,2016-10-27,40,优,
临汾市,2016-10-28,47,优,
临汾市,2016-10-29,63,良,PM10
临汾市,2016-10-30,59,良,PM10
临汾市,2016-10-31,61,良,PM10
临汾市,2016-11-01,104,轻度污染,PM2.5
临汾市,2016-11-02,204,重度污染,PM2.5
临汾市,2016-11-03,267,重度污染,PM2.5
临汾市,2016-11-04,286,重度污染,PM2.5
临汾市,2016-11-05,264,重度污染,PM2.5
临汾市,2016-11-06,182,中度污染,PM2.5
临汾市,2016-11-07,82,良,PM2.5
临汾市,2016-11-08,98,良,PM2.5
临汾市,2016-11-09,142,轻度污染,PM2.5
临汾市,2016-11-10,163,中度污染,PM2.5
临汾市,2016-11-11,229,重度污染,PM10
临汾市,2016-11-12,232,重度污染,PM10
